C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
89 |* lam Tau                |Al*|04 00 40.8157175 +12 29 25.225937      | 2.66 | 3.29 | 3.41 | 3.44 | 3.53 |B4IV                  | 323|   0
90 |* nu. Tau                |*  |04 03 09.3796630 +05 59 21.479166      |     ~| 3.924| 3.883|     ~|     ~|A0.5Va                | 114|   0
91 |* gam Eri                |LP?|03 58 01.7669489 -13 30 30.669770      | 6.52 | 4.54 | 2.94 | 1.68 | 0.68 |M0III-IIIb            | 165|   0
92 |* ups04 Eri              |SB*|04 17 53.6624067 -33 47 54.056903      | 3.07 | 3.44 | 3.56 | 3.57 | 3.68 |B9V                   | 139|   1
93 |* eps Tau                |** |04 28 36.9988174 +19 10 49.544603      | 5.42 | 4.54 | 3.53 |     ~|     ~|G9.5IIICN0.5          | 527|   1
94 |* gam Tau                |** |04 19 47.6038491 +15 37 39.515422      | 5.46 | 4.64 | 3.65 | 4.83 |     ~|G9.5IIIabCN0.5        | 497|   0
95 |* del Tau                |SB*|04 22 56.1010361735 +17 32 33.055967140| 5.56 | 4.74 | 3.76 | 5.56 |     ~|G9.5IIICN0.5          | 479|   0
96 |* tet01 Tau              |SB*|04 28 34.4960341 +15 57 43.849432      | 5.510| 4.780| 3.840| 5.48 |     ~|G9IIIFe-0.5           | 458|   0
97 |* tet02 Tau              |dS*|04 28 39.7445471109 +15 52 15.122606898| 3.690| 3.600| 3.410| 5.43 |     ~|A7III                 | 407|   0
98 |* d Eri                  |PM*|04 24 02.2089715734 -34 01 00.650471506| 7.25 | 5.45 | 3.96 | 2.79 | 1.96 |K3.5III               |  61|   0
99 |* alf Tau                |LP?|04 35 55.23907 +16 30 33.4885          | 4.32 | 2.40 | 0.86 |-0.37 |-1.31 |K5+III                |1158|   1
100|* nu. Eri                |bC*|04 36 19.1414419 -03 21 08.856678      | 2.82 | 3.737| 3.928|     ~|     ~|B2III                 | 360|   0
101|* l Eri                  |** |04 38 10.8240964091 -14 18 14.483465432| 5.99 | 4.96 | 3.87 | 3.03 | 2.47 |K2-IIIb               | 123|   0
102|* ups02 Eri              |PM*|04 35 33.0383354 -30 33 44.429731      | 5.52 | 4.80 | 3.82 | 3.07 | 2.58 |G8+III                |  87|   0
103|* pi.03 Ori              |PM*|04 49 50.4109057 +06 57 40.588294      | 3.620| 3.630| 3.190| 2.77 | 2.51 |F6V                   | 515|   0
104|* pi.04 Ori              |SB*|04 51 12.3647208 +05 36 18.372305      | 2.700| 3.500| 3.680| 3.74 | 3.90 |B2III                 | 294|   0
105|* eps Aur                |Al*|05 01 58.1290610816 +43 49 23.871349520| 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia                  | 550|   0
106|* zet Aur                |Al*|05 02 28.6873880 +41 04 33.019985      | 5.35 | 4.97 | 3.75 | 2.62 | 1.75 |K5II+B7V              | 431|   0
107|* iot Aur                |V* |04 56 59.6210887 +33 09 57.958479      | 6.00 | 4.22 | 2.69 | 1.63 | 0.81 |K3II-III              | 260|   0
108|* pi.05 Ori              |SB*|04 54 15.0985058949 +02 26 26.413995245| 2.72 | 3.54 | 3.73 | 3.79 | 3.99 |B2III                 | 197|   0
109|* eta Aur                |PM*|05 06 30.8933734 +41 14 04.112721      | 2.33 | 3.00 | 3.18 | 3.23 | 3.40 |B3V                   | 352|   0
110|* bet Eri                |PM*|05 07 50.98549 -05 05 11.2055          | 3.02 | 2.92 | 2.79 | 2.65 | 2.57 |A3IV                  | 204|   0
111|* bet Ori                |s*b|05 14 32.27210 -08 12 05.8981          |-0.56 | 0.10 | 0.13 | 0.13 | 0.15 |B8Iae                 | 720|   0
112|* mu. Lep                |a2*|05 12 55.9051909878 -16 12 19.653781382| 2.78 | 3.18 | 3.29 | 3.30 | 3.42 |B9IV:HgMn             | 259|   1
113|* eps Lep                |PM*|05 05 27.6653698 -22 22 15.723893      | 6.41 | 4.64 | 3.18 | 2.08 | 1.27 |K4III                 | 137|   0
114|* gam Ori                |V* |05 25 07.86325 +06 20 58.9318          | 0.54 | 1.42 | 1.64 | 1.73 | 1.95 |B2V                   | 490|   0
115|* eta Ori                |Al*|05 24 28.61672 -02 23 49.7311          | 2.25 | 3.18 | 3.35 | 3.44 | 3.65 |B1V+B2:               | 373|   1
116|* tau Ori                |*  |05 17 36.3885646 -06 50 39.870187      | 3.01 | 3.47 | 3.59 |     ~|     ~|B5III                 | 175|   0
117|* bet Tau                |PM*|05 26 17.51312 +28 36 26.8262          | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III                 | 343|   1
118|* lam Ori                |** |05 35 08.27761 +09 56 02.9611          | 2.45 | 3.48 | 3.66 | 3.72 | 3.89 |O8IIIf+B0.5V          | 257|   1
119|* eps Ori                |s*b|05 36 12.81335 -01 12 06.9089          | 0.48 | 1.51 | 1.69 | 1.76 | 1.93 |B0Ia                  | 850|   0
120|* del Ori                |Al*|05 32 00.40009 -00 17 56.7424          | 0.96 | 2.02 | 2.41 | 2.32 | 2.54 |B0III+O9V             | 732|   0
121|* iot Ori                |SB*|05 35 25.9819073 -05 54 35.643537      | 1.45 | 2.53 | 2.77 |     ~|     ~|O9IIIvar              | 718|   0
122|* alf Lep                |V* |05 32 43.8161188 -17 49 20.241380      | 3.02 | 2.77 | 2.57 | 2.35 | 2.14 |F0Ib                  | 265|   0
123|* bet Lep                |** |05 28 14.7231588 -20 45 33.987791      | 4.13 | 3.66 | 2.84 | 2.19 | 1.75 |G5II-IIIa:            | 224|   0
124|* eps Col                |*  |05 31 12.7489930993 -35 28 13.860468229| 6.09 | 5.01 | 3.87 | 3.05 | 2.45 |K1II/III              |  39|   0
125|* zet Tau                |Be*|05 37 38.6854231 +21 08 33.158804      | 2.22 | 2.84 | 3.03 | 3.06 | 3.15 |B1IVe_shell           | 685|   0
126|* sig Ori                |Y*O|05 38 44.7665260139 -02 36 00.284709290| 2.54 | 3.58 | 3.79 | 3.87 | 4.11 |O9.5V                 | 719|   0
127|* zet Ori                |** |05 40 45.52666 -01 56 33.2649          |     ~| 1.59 | 1.79 |     ~|     ~|O9.7Ib+B0III          | 320|   0
128|* kap Ori                |s*b|05 47 45.3888404 -09 40 10.577707      | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia                | 539|   0
129|* zet Lep                |*  |05 46 57.3409587 -14 49 19.019943      |     ~| 3.637| 3.525|     ~|     ~|A2IV-V(n)             | 273|   0
130|* gam Lep                |PM*|05 44 27.7908940 -22 26 54.180763      | 4.08 | 4.07 | 3.60 | 3.15 | 2.89 |F6V                   | 383|   0
131|* alf Col                |Be*|05 39 38.9410319 -34 04 26.794991      | 2.10 | 2.53 | 2.65 | 2.65 | 2.74 |B9Ve                  | 219|   0
132|* bet Aur                |Al*|05 59 31.7229284 +44 56 50.757259      | 1.97 | 1.93 | 1.90 | 1.82 | 1.83 |A1IV-Vp               | 395|   0
133|* nu. Aur                |*  |05 51 29.3717403689 +39 08 54.596979607| 6.160| 5.090| 3.950| 3.15 | 2.59 |K0.5IIICN0.5          | 183|   0
134|* tet Aur                |a2*|05 59 43.27012 +37 12 45.3047          | 2.36 | 2.54 | 2.62 | 2.62 | 2.68 |A0VpSi                | 258|   0
135|* alf Ori                |s*r|05 55 10.30536 +07 24 25.4304          | 4.38 | 2.27 | 0.42 |-1.17 |-2.45 |M1-M2Ia-Iab           |1426|   0
136|* eta Lep                |PM*|05 56 24.2930042 -14 10 03.718884      | 4.05 | 4.05 | 3.72 | 3.39 | 3.23 |F2V                   | 311|   0
137|* del Lep                |PM*|05 51 19.2961264 -20 52 44.723152      | 5.54 | 4.83 | 3.85 | 2.99 | 2.43 |K0IIIbFe-1.5CH0.5     | 196|   0
